player_name,dg_id,skill_pred,custom_pred,p_make_cut,p_make_cut_model,win_prob_model,win_fair_odds_dec,win_prob_anchored,win_fair_odds_dec_anchored,top5_prob_model,top5_fair_odds_dec,top5_prob_anchored,top5_fair_odds_dec_anchored,top10_prob_model,top10_fair_odds_dec,top10_prob_anchored,top10_fair_odds_dec_anchored,top20_prob_model,top20_fair_odds_dec,top20_prob_anchored,top20_fair_odds_dec_anchored,top20_prob_dh,top20_fair_odds_dec_dh,top20_prob_anchored_dh,top20_fair_odds_dec_anchored_dh,sg_app,sg_ott,sg_arg,sg_putt,sg_total,driving_acc,driving_dist,total_fit_adjustment,total_course_history_adjustment,timing_adjustment,std_deviation,market_odds_best_dec,market_book_best,market_prob_best,edge_prob,value_flag,bet_flag
"McCarty, Matt",28635,0.14545,0.1502665111314476,0.625,0.59755,0.00495,202.020202020202,0.0043833333333333,228.1368821292793,0.0348,28.73563218390805,0.0319410945767196,31.30763091409066,0.07975,12.539184952978056,0.0756204635642135,13.223933745802077,0.1873,5.339028296849974,0.1832909121896619,5.455807863322982,0.1871706313131313,5.342718528993085,0.1831643125920915,5.45957881122295,0.148,0.147,0.01,0.263,0.568,0.034,-3.706,-0.0212528201690288,0.0197964124557824,0.0304880664844301,2.7683485944049,41.0,unibet,0.024390243902439025,0.007550850674280574,True,False
"Ortiz, Carlos",14735,0.2438,0.2286619284299503,0.5988023952095809,0.61715,0.00775,129.03225806451613,0.0059083333333333,169.25246826516317,0.0418,23.92344497607656,0.035184074074074,28.421950166847395,0.0941,10.626992561105206,0.0811484968734968,12.323087161539288,0.2122,4.71253534401508,0.1894683285464535,5.277926963686819,0.2135273040276716,4.6832418203079405,0.1906534467160855,5.245118917200406,0.378,0.112,0.212,-0.133,0.57,-0.026,5.167,0.0535085162094372,-0.0801133049113684,-0.0691138953761594,2.83972039561989,36.0,bet365,0.027777777777777776,0.007406296296296223,True,False
"Berger, Daniel",17606,0.4035,0.405937411919646,0.6329113924050632,0.69585,0.0149,67.11409395973155,0.0097833333333333,102.21465076661023,0.07585,13.183915622940011,0.0550124537037036,18.17770218696272,0.1528,6.544502617801047,0.1170486423761423,8.543456632213163,0.30375,3.2921810699588474,0.247876894101269,4.0342606503349785,0.3033647582972583,3.296361797635469,0.2475625154452891,4.039383741925979,0.622,0.372,-0.222,-0.094,0.677,0.05,1.93,-0.0829969338380792,0.0953008910912594,0.0237083251178648,2.79139668679514,21.0,bet365,0.047619047619047616,0.007393406084655982,True,False
"Potgieter, Aldrich",27900,0.0553499999999999,0.0621109365372205,0.4926108374384237,0.5621,0.00595,168.0672268907563,0.0037083333333333,269.662921348317,0.03455,28.94356005788712,0.0242820568783068,41.18267266284925,0.0765,13.0718954248366,0.0562454641654641,17.779211441089327,0.17125,5.839416058394161,0.1352328742091242,7.394651676585674,0.1722642683133859,5.805034379972426,0.1360338226426332,7.351112984798225,-0.081,0.624,-0.324,-0.237,-0.018,-0.05,22.889,0.0591123756077638,-0.0576463832185741,0.0179270944922697,2.97526204975079,56.0,unibet,0.017857142857142856,0.0064249140211639424,True,False
"Clark, Wyndham",23604,0.19405,0.1993579692413181,0.591715976331361,0.60915,0.0082,121.95121951219512,0.0059666666666666,167.59776536312896,0.04445,22.49718785151856,0.0356039054232804,28.086806436299764,0.0961,10.40582726326743,0.0803074579124579,12.452143623946942,0.20775,4.813477737665464,0.1830121766659265,5.46411729655244,0.2088294029581529,4.7885977062357865,0.183963049757966,5.4358742221096366,0.332,-0.001,0.197,-0.08,0.448,-0.039,8.332,0.0810336226569538,-0.0505921331111482,-0.0165496766170019,2.87715529557664,34.0,unibet,0.029411764705882353,0.0061921407173980494,True,False
"Neergaard-Petersen, Rasmus",23841,0.1933,0.1601554790103073,0.5586592178770949,0.5983,0.0059,169.49152542372883,0.0038916666666666,256.9593147751617,0.03635,27.51031636863824,0.0268458630952381,37.24968709154221,0.08075,12.383900928792569,0.0636030158730158,15.722524887758649,0.19065,5.245213742460006,0.158913976232101,6.292712722381669,0.189579089105339,5.274843363364579,0.1580213315509531,6.3282595468926,0.243,0.319,-0.075,-0.126,0.361,0.026,2.812,-0.0438706276999912,-0.0502557187049099,-0.0841601882197898,2.82507008955414,46.0,draftkings,0.021739130434782608,0.005106732660455492,True,False
"Noren, Alex",10419,0.17445,0.1773055309083179,0.6993006993006994,0.6066,0.00505,198.01980198019805,0.006175,161.94331983805668,0.03495,28.612303290414875,0.0432010218253968,23.147600629486124,0.08135,12.292562999385371,0.0993813273300775,10.06225240561214,0.19035,5.253480430785396,0.2258779814167315,4.427169012791288,0.1911685395976572,5.23098623918271,0.2268492977919796,4.408212896109549,0.208,-0.063,0.287,0.471,0.903,0.032,-6.173,0.0231587142485465,-0.122410225617683,0.0829266095063055,2.73141485856698,26.0,unibet,0.038461538461538464,0.004739483363858335,True,False
"Echavarria, Nico",22833,0.1018,0.0758973508473323,0.5524861878453039,0.55865,0.00455,219.78021978021977,0.0030916666666666,323.4501347708912,0.029,34.48275862068965,0.0225860648148148,44.27508767902204,0.06675,14.9812734082397,0.0560857071632071,17.82985453120953,0.15825,6.3191153238546605,0.141309820249195,7.076649013044772,0.1596228787878787,6.264766101160786,0.1425357365508637,7.015784421495944,0.156,0.026,-0.126,0.221,0.277,0.034,-5.406,-0.0444518993404588,-0.0385305064846532,-0.0561634665593895,2.81044687005966,51.0,unibet,0.0196078431372549,0.0029782216775598967,True,False
"Hall, Harry",27194,0.13725,0.1488943598136222,0.6896551724137931,0.6006,0.0043,232.5581395348837,0.0055666666666666,179.64071856287478,0.03145,31.79650238473768,0.0390724506974507,25.59348037171483,0.0764,13.089005235602096,0.091709242123617,10.904026430096074,0.18215,5.489980785067252,0.2127416258394385,4.700537546679865,0.1839486544011544,5.436299619888517,0.2148423596391906,4.65457557662006,0.15,-0.181,0.385,0.615,0.969,-0.026,0.231,0.1317298450165974,-0.0502557187049099,-0.0358162569198037,2.73033655127739,26.0,betway,0.038461538461538464,0.0006109122359122393,True,False
"Valimaki, Sami",23816,0.06785,0.065385994994489,0.5524861878453039,0.5617,0.00305,327.86885245901635,0.0025666666666666,389.6103896103921,0.02435,41.06776180698152,0.0201378373015873,49.6577653808524,0.06265,15.961691939345572,0.0531016284872535,18.83181417383536,0.15585,6.416426050689767,0.139987092028342,7.143515773565312,0.1551611147186147,6.444913738944862,0.1393683236787607,7.17523159929057,0.164,-0.179,-0.103,0.327,0.209,0.028,-5.292,-0.0218890049093309,-0.0502557187049099,0.0472607689104584,2.79459000767555,51.0,draftkings,0.0196078431372549,0.0005299941643323973,True,False
