player_name,dg_id,skill_pred,custom_pred,p_make_cut,p_make_cut_model,top20_prob_model,top20_fair_odds_dec,top20_prob_anchored,top20_fair_odds_dec_anchored,top20_prob_dh,top20_fair_odds_dec_dh,top20_prob_anchored_dh,top20_fair_odds_dec_anchored_dh,sg_app,sg_ott,sg_arg,sg_putt,total_fit_adjustment,total_course_history_adjustment,timing_adjustment,std_deviation,make_cut_fair_odds_dec_model,p_miss_cut_model,miss_cut_fair_odds_dec_model,market_odds_best_dec,market_book_best,market_prob_best,edge_prob,ev_per_unit,value_flag,bet_flag
"Bezuidenhout, Christiaan",18103,0.08525,0.1054464376375506,0.6666666666666666,0.6134,0.1845,5.420054200542006,0.2025040823249465,4.938172053219936,0.1846623182373182,5.415289971150761,0.2026822400793786,4.933831398391685,0.165,-0.294,0.284,0.396,0.1263679977172208,0.0272648379101686,0.0309819798516007,2.70958598458951,1.6302575806977504,0.38660000000000005,2.5866528711846866,2.62,williamhill,0.38167938931297707,0.004920610687022986,0.012892000000000237,True,False
"Penge, Marco",22465,0.24965,0.2217009863530417,0.684931506849315,0.64255,0.245,4.081632653061225,0.258344510813261,3.870800261449447,0.2446265702353202,4.087863387194788,0.2579507413035495,3.8767091536411855,0.091,0.884,-0.186,-0.028,-0.1546122656420868,-0.0443052044453729,-0.0513626343024048,2.94504535222235,1.5562991206909969,0.35745000000000005,2.797594069100573,2.75,bet365,0.36363636363636365,-0.006186363636363601,-0.017012499999999875,False,False
"Mitchell, Keith",17365,0.393,0.4107509520678049,0.7194244604316548,0.71505,0.32845,3.044603440401888,0.319504894203019,3.1298425099071645,0.3284728449328449,3.044391691509374,0.3195271169701119,3.129624832729106,0.47,0.614,-0.064,-0.126,-0.1070808303863458,0.150462849148189,0.10467946324515,2.85616820529853,1.398503601146773,0.28495000000000004,3.5093876118617295,3.4,bet365,0.29411764705882354,-0.009167647058823503,-0.03116999999999992,False,False
"Jaeger, Stephan",16394,0.039,0.0787613089604069,0.6289308176100629,0.5916,0.1809,5.527915975677169,0.19126931975432,5.228230022904205,0.1813332731157731,5.5147077136888445,0.1917274284006536,5.21573782291752,0.068,-0.202,0.244,0.277,0.1302779543187229,-0.0197299009748707,0.138600042886391,2.84447486142431,1.690331304935767,0.4084,2.4485798237022527,2.38,bet365,0.42016806722689076,-0.011768067226890777,-0.028008000000000033,False,False
"Hisatsune, Ryo",22760,0.35185,0.3443701156387711,0.7092198581560284,0.69085,0.29225,3.421727972626176,0.2905795599308099,3.441398287746428,0.291391990925741,3.431803313546948,0.2897264550575342,3.451531548271692,0.434,0.433,0.116,-0.067,-0.0611790977938341,0.0109923528062595,-0.0095579611107924,2.79814146719816,1.447492219729319,0.30915000000000004,3.2346757237586927,3.1,betmgm,0.3225806451612903,-0.013430645161290278,-0.04163499999999987,False,False
"Finau, Tony",11676,0.0897,0.1323564701472884,0.6172839506172839,0.61355,0.20805,4.806536890170632,0.198908442945943,5.027438680779218,0.2060745217282717,4.852613470182367,0.1970197656707542,5.075632876709084,0.207,-0.235,0.257,0.089,0.104567963764891,0.0565313462290383,0.146865532296737,2.86937049558346,1.6298590171950125,0.38644999999999996,2.58765687669815,2.5,bet365,0.4,-0.013550000000000062,-0.0338750000000001,False,False
"Kim, Si Woo",14609,0.61275,0.5802340668399618,0.7874015748031495,0.776,0.4217,2.3713540431586435,0.4193858151992345,2.3844392532087366,0.4215188009213008,2.3723734215753374,0.4192056104960483,2.385464256589253,0.808,0.655,0.237,-0.191,-0.1475004774100236,0.218654529143832,-0.143493059381137,2.7676977843641,1.2886597938144329,0.22399999999999998,4.464285714285714,4.0,betmgm,0.25,-0.026000000000000023,-0.10400000000000009,False,False
"Taylor, Nick",13126,0.2131,0.2043515461627535,0.6493506493506493,0.64735,0.23305,4.290924694271616,0.2196378717877985,4.552948869246659,0.2321773866411366,4.307051666257416,0.2188154777048363,4.570060630486642,0.377,-0.125,0.292,0.078,0.0601652850678961,0.155312321016914,-0.112652991974409,2.72114738720001,1.5447594037228702,0.35265,2.8356727633631076,2.63,bet365,0.3802281368821293,-0.02757813688212929,-0.07253049999999994,False,False
"Spaun, J.J.",17536,0.44155,0.3897489036249521,0.6993006993006994,0.707,0.31115,3.213883978788366,0.29629568517131,3.3750069611099045,0.3110616411366411,3.2147969011734445,0.2962115445640149,3.375965651412644,0.645,0.38,0.057,-0.139,-0.0868203959072653,0.178461145606424,-0.260210570323213,2.79909646732134,1.4144271570014144,0.29300000000000004,3.41296928327645,3.1,betmgm,0.3225806451612903,-0.029580645161290275,-0.09169999999999989,False,False
"Olesen, Thorbjorn",13412,0.24635,0.2573130883107425,0.6666666666666666,0.6692,0.2534,3.9463299131807417,0.241008257062926,4.149235433617966,0.2529762402874903,3.952940398132125,0.2406052200079715,4.156185804974925,0.353,0.2,0.04,-0.018,-0.0170166640243539,0.0631286923249924,0.0475416004846415,2.76628003516807,1.4943215780035863,0.3308,3.0229746070133015,2.75,bet365,0.36363636363636365,-0.032836363636363664,-0.09030000000000005,False,False
"Smalley, Alex",18474,0.2350999999999999,0.2458941514356866,0.6802721088435374,0.6564,0.2438,4.101722723543888,0.251035018130018,3.983507988045207,0.2437836093073593,4.10199850121676,0.2510181410265552,3.98377581759802,0.302,0.218,0.071,0.074,-0.0278846757361623,-0.0579487755055576,0.0824002889229037,2.83444980294935,1.5234613040828764,0.3436,2.910360884749709,2.63,bet365,0.3802281368821293,-0.03662813688212929,-0.09633199999999997,False,False
"McCarty, Matt",28635,0.1166,0.0791521592118251,0.6329113924050632,0.5943,0.17485,5.719187875321704,0.186002341847967,5.3762763955809305,0.1754453966866466,5.699779070214334,0.1866357143274911,5.358031305012139,0.096,0.124,-0.002,0.33,0.0193513650790155,-0.0443052044453729,-0.185838585369039,2.79200814420742,1.6826518593303044,0.40569999999999995,2.464875523786049,2.25,bet365,0.4444444444444444,-0.03874444444444447,-0.08717500000000011,False,False
"Mouw, William",29770,0.086,0.0885440838739199,0.6097560975609756,0.59695,0.1914,5.224660397074191,0.1874913276769524,5.333580024154503,0.1909825645188145,5.236080071076256,0.1870824168483896,5.345237766574256,0.026,0.312,-0.124,0.061,-0.0912057356438483,0.0019715879211364,0.0578303902112401,2.86446277817551,1.6751821760616468,0.40305,2.4810817516437167,2.25,bet365,0.4444444444444444,-0.0413944444444444,-0.09313749999999998,False,False
"Meissner, Mac",28159,0.2391,0.2475009608276048,0.6802721088435374,0.662,0.2423,4.127115146512588,0.2416677392011585,4.137912670121119,0.2437635206460207,4.102336548757606,0.2431274409172049,4.113069245608282,0.346,0.144,0.123,0.005,0.0018121653464177,0.054622163415756,0.0274431806108762,2.75931741057032,1.510574018126888,0.33799999999999997,2.958579881656805,2.63,bet365,0.3802281368821293,-0.04222813688212934,-0.11106000000000016,False,False
"Novak, Andrew",23475,0.10265,0.0933153149394951,0.5882352941176471,0.6021,0.18805,5.317734645041212,0.174874036797217,5.71840176114648,0.1890675072150072,5.289116119052661,0.1758202510708602,5.687626959405111,0.159,0.022,0.074,0.023,0.0245093330751648,0.119189191139544,-0.0887253896249926,2.85430348538494,1.6608536787908983,0.39790000000000003,2.513194269917064,2.25,bet365,0.4444444444444444,-0.04654444444444439,-0.10472499999999996,False,False
"Hoey, Rico",23504,0.3505500000000001,0.3385315536706428,0.6622516556291391,0.68385,0.29165,3.4287673581347504,0.2658247332528585,3.761877187886717,0.2915655114330114,3.429760931205866,0.2657477260497635,3.762967288054016,0.438,0.643,-0.147,-0.364,-0.175969626385904,0.029313370877182,0.02056423882687,2.87873272699091,1.4623089858887184,0.31615000000000004,3.1630555116242287,2.75,bet365,0.36363636363636365,-0.047486363636363604,-0.13058749999999986,False,False
"Dumont De Chassart, Adrien",22002,0.11575,0.129863739248237,0.6493506493506493,0.6051,0.19875,5.031446540880503,0.2089216231290495,4.786483969552097,0.1988678571428571,5.028464701973673,0.2090455119621718,4.78364730538179,0.099,0.148,0.1,0.143,0.0247202016280721,-0.0561188786599924,0.0722383150921471,2.85609590297703,1.6526194017517766,0.39490000000000003,2.5322866548493286,2.25,bet365,0.4444444444444444,-0.04954444444444439,-0.11147499999999994,False,False
"Keefer, Johnny",32457,0.23865,0.2236565662029022,0.6329113924050632,0.65075,0.24805,4.031445273130418,0.2291931128246755,4.363132851923714,0.24775094003219,4.036311627596937,0.2289167875477409,4.3683995862096765,0.248,0.565,-0.242,-0.148,-0.1399861937701385,-0.0443052044453729,0.0061022290109235,2.88700883210749,1.536688436419516,0.34924999999999995,2.8632784538296354,2.5,bet365,0.4,-0.05075000000000007,-0.12687500000000018,False,False
"McGreevy, Max",23505,0.2989,0.2911079732070422,0.684931506849315,0.67535,0.26645,3.7530493525989854,0.258948382758309,3.861773490716704,0.2658786555111555,3.761114249947916,0.2583931238677698,3.870072024485218,0.369,0.441,-0.012,-0.131,-0.1051944473174152,-0.0270666553772144,0.0204037535382223,2.78376365739515,1.4807137040053306,0.32465,3.0802402587401816,2.63,bet365,0.3802281368821293,-0.055578136882129314,-0.1461705000000001,False,False
