player_name,dg_id,skill_pred,custom_pred,p_make_cut,p_make_cut_model,top20_prob_model,top20_fair_odds_dec,top20_prob_anchored,top20_fair_odds_dec_anchored,top20_prob_dh,top20_fair_odds_dec_dh,top20_prob_anchored_dh,top20_fair_odds_dec_anchored_dh,sg_app,sg_ott,sg_arg,sg_putt,total_fit_adjustment,total_course_history_adjustment,timing_adjustment,std_deviation,make_cut_fair_odds_dec_model,market_odds_best_dec,market_book_best,market_prob_best,edge_prob,value_flag,bet_flag
"Keefer, Johnny",32457,0.23865,0.2236565662029022,0.6329113924050632,0.65075,0.24805,4.031445273130418,0.24805,4.031445273130418,0.24775094003219,4.036311627596937,0.24775094003219,4.036311627596937,0.248,0.565,-0.242,-0.148,-0.1399861937701385,-0.0443052044453729,0.0061022290109235,2.88700883210749,1.536688436419516,1.5,bet365,0.6666666666666666,-0.01591666666666658,False,False
"Kim, Tom",24766,0.11975,0.1419408370899464,0.625,0.61735,0.1999,5.002501250625313,0.1999,5.002501250625313,0.2000934570984571,4.997664663807294,0.2000934570984571,4.997664663807294,0.239,-0.17,0.209,0.099,0.0398652464704104,-0.0814989864416441,0.111396308824938,2.81869064945359,1.619826678545396,1.57,bet365,0.6369426751592356,-0.019592675159235684,False,False
"Rodgers, Patrick",16283,0.10525,0.11527310200165,0.6329113924050632,0.615,0.1934,5.17063081695967,0.1934,5.17063081695967,0.1918587677600177,5.212167323261595,0.1918587677600177,5.212167323261595,0.122,0.061,0.11,0.119,0.0271895100876936,0.0284238275635805,0.0294147980735084,2.82383825418159,1.6260162601626016,1.57,bet365,0.6369426751592356,-0.021942675159235647,False,False
"Kim, Si Woo",14609,0.61275,0.5802340668399618,0.7874015748031495,0.776,0.4217,2.3713540431586435,0.4217,2.3713540431586435,0.4215188009213008,2.3723734215753374,0.4215188009213008,2.3723734215753374,0.808,0.655,0.237,-0.191,-0.1475004774100236,0.218654529143832,-0.143493059381137,2.7676977843641,1.2886597938144329,1.25,bet365,0.8,-0.02400000000000002,False,False
"Olesen, Thorbjorn",13412,0.24635,0.2573130883107425,0.6666666666666666,0.6692,0.2534,3.9463299131807417,0.2534,3.9463299131807417,0.2529762402874903,3.952940398132125,0.2529762402874903,3.952940398132125,0.353,0.2,0.04,-0.018,-0.0170166640243539,0.0631286923249924,0.0475416004846415,2.76628003516807,1.4943215780035863,1.44,skybet,0.6944444444444444,-0.025244444444444403,False,False
"Dumont De Chassart, Adrien",22002,0.11575,0.129863739248237,0.6493506493506493,0.6051,0.19875,5.031446540880503,0.19875,5.031446540880503,0.1988678571428571,5.028464701973673,0.1988678571428571,5.028464701973673,0.099,0.148,0.1,0.143,0.0247202016280721,-0.0561188786599924,0.0722383150921471,2.85609590297703,1.6526194017517766,1.57,bet365,0.6369426751592356,-0.03184267515923567,False,False
"Meissner, Mac",28159,0.2391,0.2475009608276048,0.6802721088435374,0.662,0.2423,4.127115146512588,0.2423,4.127115146512588,0.2437635206460207,4.102336548757606,0.2437635206460207,4.102336548757606,0.346,0.144,0.123,0.005,0.0018121653464177,0.054622163415756,0.0274431806108762,2.75931741057032,1.510574018126888,1.44,bet365,0.6944444444444444,-0.03244444444444439,False,False
"Novak, Andrew",23475,0.10265,0.0933153149394951,0.5882352941176471,0.6021,0.18805,5.317734645041212,0.18805,5.317734645041212,0.1890675072150072,5.289116119052661,0.1890675072150072,5.289116119052661,0.159,0.022,0.074,0.023,0.0245093330751648,0.119189191139544,-0.0887253896249926,2.85430348538494,1.6608536787908983,1.57,bet365,0.6369426751592356,-0.03484267515923567,False,False
"Mitchell, Keith",17365,0.393,0.4107509520678049,0.7194244604316548,0.71505,0.32845,3.044603440401888,0.32845,3.044603440401888,0.3284728449328449,3.044391691509374,0.3284728449328449,3.044391691509374,0.47,0.614,-0.064,-0.126,-0.1070808303863458,0.150462849148189,0.10467946324515,2.85616820529853,1.398503601146773,1.33,betmgm,0.7518796992481203,-0.036829699248120296,False,False
"Mouw, William",29770,0.086,0.0885440838739199,0.6097560975609756,0.59695,0.1914,5.224660397074191,0.1914,5.224660397074191,0.1909825645188145,5.236080071076256,0.1909825645188145,5.236080071076256,0.026,0.312,-0.124,0.061,-0.0912057356438483,0.0019715879211364,0.0578303902112401,2.86446277817551,1.6751821760616468,1.57,bet365,0.6369426751592356,-0.03999267515923566,False,False
"McCarty, Matt",28635,0.1166,0.0791521592118251,0.6329113924050632,0.5943,0.17485,5.719187875321704,0.17485,5.719187875321704,0.1754453966866466,5.699779070214334,0.1754453966866466,5.699779070214334,0.096,0.124,-0.002,0.33,0.0193513650790155,-0.0443052044453729,-0.185838585369039,2.79200814420742,1.6826518593303044,1.57,bet365,0.6369426751592356,-0.04264267515923559,False,False
"Hisatsune, Ryo",22760,0.35185,0.3443701156387711,0.7092198581560284,0.69085,0.29225,3.421727972626176,0.29225,3.421727972626176,0.291391990925741,3.431803313546948,0.291391990925741,3.431803313546948,0.434,0.433,0.116,-0.067,-0.0611790977938341,0.0109923528062595,-0.0095579611107924,2.79814146719816,1.447492219729319,1.36,bet365,0.7352941176470588,-0.0444441176470588,False,False
"Taylor, Nick",13126,0.2131,0.2043515461627535,0.6493506493506493,0.64735,0.23305,4.290924694271616,0.23305,4.290924694271616,0.2321773866411366,4.307051666257416,0.2321773866411366,4.307051666257416,0.377,-0.125,0.292,0.078,0.0601652850678961,0.155312321016914,-0.112652991974409,2.72114738720001,1.5447594037228702,1.44,bet365,0.6944444444444444,-0.04709444444444444,False,False
"Straka, Sepp",17511,0.42385,0.4156712903070265,0.7352941176470588,0.72005,0.3361,2.9753049687592976,0.3361,2.9753049687592976,0.3359257413419914,2.976848383232244,0.3359257413419914,2.976848383232244,0.595,0.32,0.051,0.115,-0.0547078675172557,0.0321469335749114,-0.0215763480999673,2.84259809586715,1.3887924449690994,1.3,williamhill,0.7692307692307692,-0.049180769230769195,False,False
"Penge, Marco",22465,0.24965,0.2217009863530417,0.684931506849315,0.64255,0.245,4.081632653061225,0.245,4.081632653061225,0.2446265702353202,4.087863387194788,0.2446265702353202,4.087863387194788,0.091,0.884,-0.186,-0.028,-0.1546122656420868,-0.0443052044453729,-0.0513626343024048,2.94504535222235,1.5562991206909969,1.44,skybet,0.6944444444444444,-0.051894444444444465,False,False
