player_name,dg_id,skill_pred,custom_pred,p_make_cut,top20_prob_model,top20_fair_odds_dec,sg_app,sg_ott,sg_arg,sg_putt,total_fit_adjustment,total_course_history_adjustment,timing_adjustment,std_deviation,p_make_cut_model,make_cut_fair_odds_dec_model,market_odds_best_dec,market_book_best,market_prob_best,edge_prob,value_flag,bet_flag,ev_per_unit
"Griffin, Ben",24968,0.4624499999999999,0.4317122699716569,0.7874015748031495,0.3103,3.2226877215597804,0.59,0.285,0.248,0.419,0.0476473469342579,0.0203167765570988,-0.182591517748119,2.65795124583664,0.7874015748031495,1.27,1.25,bet365,0.8,-0.012598425196850505,False,False,-0.015748031496063075
"McNealy, Maverick",18634,0.35705,0.3712102151503427,0.7575757575757576,0.29805,3.355141754739138,0.417,0.298,0.156,0.376,0.0449671215186048,0.0624409756971554,0.032707271068122,2.74706130261345,0.7575757575757576,1.32,1.29,bet365,0.7751937984496123,-0.017618040873854768,False,False,-0.022727272727272707
"English, Harris",14577,0.30225,0.3214971729619033,0.7575757575757576,0.2519,3.969829297340214,0.276,0.389,0.165,0.367,0.0502451005021316,0.192933077494534,0.0228800451848172,2.6504579629594,0.7575757575757576,1.32,1.29,bet365,0.7751937984496123,-0.017618040873854768,False,False,-0.022727272727272707
"McGreevy, Max",23505,0.27485,0.2835176792977625,0.6944444444444444,0.23805,4.200798151648813,0.284,0.463,0.012,0.017,0.0241646231495245,-0.0296379490104827,0.0386655721666712,2.68591987813042,0.6944444444444444,1.44,1.4,skybet,0.7142857142857143,-0.019841269841269882,False,False,-0.0277777777777779
"Lee, Min Woo",16841,0.1669,0.1647254686924694,0.6944444444444444,0.20145,4.964010920824026,0.021,0.409,0.293,0.238,0.0402007968224068,-0.0041987874728553,-0.0299233580806421,2.7488042227738,0.6944444444444444,1.44,1.4,bet365,0.7142857142857143,-0.019841269841269882,False,False,-0.0277777777777779
"Kim, Si Woo",14609,0.6601000000000001,0.6874827945320436,0.8130081300813008,0.46975,2.12879191059074,0.901,0.661,0.208,-0.215,0.0410758794706127,0.06994416785702,0.0988899909606564,2.64904556601005,0.8130081300813008,1.23,1.2,bet365,0.8333333333333334,-0.020325203252032575,False,False,-0.024390243902439074
"Coody, Pierceson",28309,0.28735,0.3020546670349487,0.7142857142857143,0.2473,4.043671653861707,0.211,0.648,0.012,0.081,0.0262182346467527,-0.0450174913815942,0.071668590696766,2.74258114035344,0.7142857142857143,1.4,1.36,bet365,0.7352941176470588,-0.021008403361344463,False,False,-0.02857142857142847
"Knapp, Jake",19396,0.2055,0.2468038846741274,0.7299270072992701,0.23375,4.27807486631016,0.032,0.586,-0.01,0.424,0.0374990987351075,0.0359243355236946,0.17878879012216,2.81294291564723,0.7299270072992701,1.37,1.33,bet365,0.7518796992481203,-0.02195269194885019,False,False,-0.029197080291970767
"Gotterup, Chris",27774,0.34835,0.3535360881187029,0.7518796992481203,0.27675,3.613369467028004,0.273,0.694,0.045,0.202,0.0355859056533884,-0.0313348052153866,0.0159711890706669,2.80767346426282,0.7518796992481203,1.33,1.29,bet365,0.7751937984496123,-0.023314099201492078,False,False,-0.030075187969924838
"Hojgaard, Nicolai",23602,0.3426,0.3514327431276545,0.6896551724137931,0.27785,3.599064243296743,0.434,0.434,-0.112,0.066,0.0138384271880587,-0.0038613754311342,0.0382098459020268,2.79897131376946,0.6896551724137931,1.45,1.4,bet365,0.7142857142857143,-0.024630541871921152,False,False,-0.03448275862068967
"Hojgaard, Rasmus",23838,0.2093999999999999,0.2207115356882384,0.7092198581560284,0.21535,4.643603436266543,0.118,0.416,-0.027,0.432,0.0374169035967962,0.0032967463310111,0.0370250400600414,2.81219575709036,0.7092198581560284,1.41,1.36,williamhill,0.7352941176470588,-0.02607425949103037,False,False,-0.0354609929078013
"Scheffler, Scottie",18417,1.0337,1.0438700822429088,0.9433962264150942,0.65535,1.5259021896696423,1.298,0.928,0.318,0.56,0.0955466214464311,0.160019224818012,-0.0369277057131754,2.69460137095804,0.9433962264150942,1.06,1.03,bet365,0.970873786407767,-0.027477559992672762,False,False,-0.028301886792452907
"Morikawa, Collin",22085,0.5557000000000002,0.5144995021781188,0.7194244604316548,0.37185,2.6892564205997043,0.755,0.641,-0.004,-0.194,0.0279808287728708,-0.016002571812766,-0.215992260542651,2.70201755552355,0.7194244604316548,1.39,1.33,williamhill,0.7518796992481203,-0.032455238816465504,False,False,-0.04316546762589912
"Kitayama, Kurt",21891,0.3911500000000001,0.3683344445318587,0.6802721088435374,0.28255,3.5391966023712613,0.526,0.449,0.074,-0.178,0.0084693898914501,0.0687600245358551,-0.135502478420396,2.76108317230421,0.6802721088435374,1.47,1.4,bet365,0.7142857142857143,-0.03401360544217691,False,False,-0.04761904761904773
