player_name,dg_id,skill_pred,custom_pred,p_make_cut,p_make_cut_model,p_make_cut_anchored,make_cut_fair_odds_dec_model,make_cut_fair_odds_dec_anchored,make_cut_strategy_prob,make_cut_strategy_fair_odds_dec,make_cut_strategy_name,make_cut_strategy_tier,p_miss_cut_model,p_miss_cut_anchored,miss_cut_fair_odds_dec_model,miss_cut_fair_odds_dec_anchored,p_miss_cut_dg,miss_cut_strategy_prob,miss_cut_strategy_fair_odds_dec,miss_cut_arg_overlay_prob,miss_cut_arg_overlay_fair_odds_dec,miss_cut_strategy_name,miss_cut_strategy_tier,win_prob_model,win_fair_odds_dec,win_prob_anchored,win_fair_odds_dec_anchored,top5_prob_model,top5_fair_odds_dec,top5_prob_anchored,top5_fair_odds_dec_anchored,top10_prob_model,top10_fair_odds_dec,top10_prob_anchored,top10_fair_odds_dec_anchored,top10_strategy_prob,top10_strategy_fair_odds_dec,top10_strategy_name,top10_strategy_tier,top20_prob_model,top20_fair_odds_dec,top20_prob_anchored,top20_fair_odds_dec_anchored,top20_prob_dh,top20_fair_odds_dec_dh,top20_prob_anchored_dh,top20_fair_odds_dec_anchored_dh,top20_strategy_prob,top20_strategy_fair_odds_dec,top20_strategy_name,top20_strategy_tier,sg_app,sg_ott,sg_arg,sg_putt,sg_total,driving_acc,driving_dist,total_fit_adjustment,total_course_history_adjustment,timing_adjustment,std_deviation,market_odds_best_dec,market_book_best,market_prob_best,p_model,strategy_name,strategy_tier,strategy_min_ev,strategy_odds_cap,edge_prob,ev_per_unit,arg_overlay_ev_per_unit,arg_overlay_qualified,value_flag,strategy_qualified,bet_flag
"Penge, Marco",22465,0.15215,0.1113206716010103,0.6211180124223602,0.62705,0.6240840062111801,1.5947691571645004,1.6023483858703726,0.6326868991985151,1.5805606236936398,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.37295,0.3759159937888199,2.681324574339724,2.660168805059608,0.3788819875776398,0.3788819875776398,2.6393442622950816,0.3887331716084342,2.572458624671441,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0223437239464019,44.75529694149441,0.0188051953065343,53.17679416243684,0.0905465286442303,11.044045696430134,0.0814147295698304,12.28278967803102,0.1595401089558327,6.268016278444695,0.1467007129398249,6.816599455860787,0.1467315756110593,6.815165691743783,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.2768283411445547,3.6123469001239954,0.2595206902216093,3.8532573227440254,0.2769770537050827,3.6104073843776656,0.2596601050885745,3.851188459077618,0.2948596935657935,3.3914435299949366,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.051,0.552,-0.158,0.019,0.464,-0.06,19.082,0.1950726034828417,0.0569854331660398,-0.315929302027879,2.90746885021243,,,,0.3788819875776398,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.15,10.0,,,,False,False,False,False
"Ferguson, Ewen",21646,0.0988,0.1177220399767661,0.6802721088435374,0.64365,0.6619610544217687,1.5536394002951914,1.5106628906945478,0.6882223356036241,1.4530188113161466,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.3563499999999999,0.3380389455782313,2.806229830223096,2.958239022694422,0.3197278911564626,0.3197278911564626,3.127659574468085,0.3283477546275499,3.0455515102709194,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0151094782984359,66.18362197876253,0.0159547391492179,62.67730175012079,0.0786582469716426,12.71322510353572,0.0809955818191546,12.346352449603735,0.1507654295467491,6.632820289149385,0.1556127604452951,6.426208218005008,0.171770279155089,5.821728909790696,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.2756805733622947,3.6273865358144657,0.2833838171090528,3.528783013093426,0.2747064477072737,3.640249467553803,0.2823824718089583,3.5412962907858363,0.3213554583623987,3.1118189343847424,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.172,0.082,-0.155,-0.008,0.091,0.059,-4.791,-0.0236734397766553,0.13538456949587,0.0726007773981907,2.6932471826056,,,,0.3197278911564626,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.15,10.0,,,,False,False,False,False
"Brown, Dan",20766,0.1527,0.1062146002909807,0.5405405405405405,0.6346,0.5875702702702703,1.575795776867318,1.7019240941853992,0.5270517306991415,1.8973469618883256,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.3653999999999999,0.4124297297297297,2.7367268746579096,2.424655469564021,0.4594594594594595,0.4594594594594595,2.176470588235294,0.4855103064398236,2.059688510698886,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0196157091794593,50.979548628664986,0.0134745212563963,74.21413948382774,0.0843626089758808,11.853592629951716,0.0610551272392631,16.378640831935282,0.1538142973645231,6.501346215105796,0.1161709329535458,8.608005243444827,0.0715097128918145,13.98411431902793,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.2756284054019796,3.628073088263848,0.2176912302567673,4.593662311616769,0.2756458850166268,3.62784302018396,0.2177050356510677,4.593371012339722,0.1781143933726569,5.614369400836496,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.323,0.077,-0.24,-0.202,-0.041,0.036,-6.053,-0.0498336899416558,0.165085302857538,-0.248781479288653,2.81410998933686,,,,0.4594594594594595,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.15,10.0,,,,False,False,False,False
"Perez, Victor",20730,0.13145,0.1085768231916964,0.6756756756756757,0.64625,0.6609628378378378,1.5473887814313347,1.512944363515551,0.7016581016102929,1.4251955442472877,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.35375,0.3390371621621622,2.826855123674912,2.949529171441383,0.3243243243243243,0.3243243243243243,3.083333333333333,0.2977637622225265,3.358367024032543,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0150531474298341,66.43128984560902,0.0165349070482504,60.47811439652511,0.0780448593122585,12.813143733131556,0.0816388221525218,12.24907432069205,0.1500037548629546,6.666499788046057,0.1550451963347963,6.449732230598445,0.1967421917220139,5.082793839223595,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.2728117639592694,3.665531080797891,0.2800512327284232,3.5707752122974568,0.2724730619335075,3.670087578213633,0.279703542737106,3.57521392190553,0.3314790649943998,3.016781768757838,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.054,0.315,0.058,0.172,0.599,0.02,1.262,0.0373239375609104,0.0496816291333525,-0.145448260105311,2.70942163968142,,,,0.3243243243243243,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.15,10.0,,,,False,False,False,False
"Ortiz, Carlos",14735,0.12195,0.0840400715033398,0.625,0.6328,0.6289,1.5802781289506953,1.590077913817777,0.6373875293531834,1.5689042441962948,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.3671999999999999,0.3711,2.723311546840959,2.6946914578280787,0.375,0.375,2.6666666666666665,0.3386451801154881,2.952943253640787,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.01766330875204,56.61453434563931,0.0160983210426866,62.118279126647984,0.0776547073822812,12.877519389483576,0.0730077207546326,13.697181471543823,0.1471766014491359,6.794558307188518,0.1390681888919559,7.190717071730287,0.1445203046814274,6.919442926752368,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.2648359059623426,3.775923043237919,0.2531885154511087,3.949626223046843,0.2648048042187036,3.7763665313794497,0.2531587815512764,3.950090112901944,0.2758273201186316,3.625456679091492,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.094,0.229,0.103,0.027,0.453,-0.015,4.221,0.041026696314255,-0.06,-0.195062990640428,2.810191650024,,,,0.375,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.15,10.0,,,,False,False,False,False
"Campillo, Jorge",14016,0.0671,0.0882285769402323,0.5847953216374269,0.6341,0.6094476608187134,1.5770383220312254,1.6408299913016822,0.5797117291519163,1.7249952859552116,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.3659,0.3905523391812866,2.732987154960372,2.560476278534898,0.4152046783625731,0.4152046783625731,2.408450704225352,0.390546259546825,2.560516137474628,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0162967514719862,61.3619224493284,0.0120150424026597,83.2290029853435,0.0732617781284176,13.649682352060031,0.0579152706779654,17.26660323423926,0.1417484450296864,7.054751110607029,0.1158592643942601,8.631161307887103,0.087187596134444,11.469521403686723,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.2597308469497982,3.850139526142937,0.2225205259881266,4.493967446640669,0.2601656190839129,3.84370541934468,0.2228930105239618,4.486457415821462,0.1903941069919332,5.252263401421184,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.269,-0.283,0.03,-0.131,-0.115,-0.011,-3.707,-0.0408738395663818,0.29867082281703,0.0514120987800949,2.72183541288352,,,,0.4152046783625731,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.15,10.0,,,,False,False,False,False
"Ballester, Jose Luis",28473,0.0453499999999999,0.0430594245618905,0.6024096385542169,0.60735,0.6048798192771084,1.6464970774676877,1.6532209674230816,0.6041437977152173,1.6552350678461856,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.39265,0.3951201807228915,2.546797402266649,2.530875538096919,0.3975903614457831,0.3975903614457831,2.515151515151516,0.4148504469808313,2.410507225622457,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.018867014088834,53.00255754787512,0.0161168403777504,62.04690104026337,0.0749277433043863,13.346191355818652,0.0699994572702787,14.28582504774065,0.139905526872157,7.147680455210182,0.131104522880338,7.627501920072749,0.1246997513332238,8.019262182229946,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.2510381694430513,3.983457982579229,0.2376034459274491,4.208693169817681,0.2500595147661649,3.999047990375882,0.2366771655768669,4.225164677642823,0.2640692205510382,3.786885869974853,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,-0.037,0.37,-0.197,-0.071,0.065,-0.051,12.66,0.169344509926157,-0.0196831805817521,-0.0912043370081875,2.89084376823895,,,,0.3975903614457831,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.15,10.0,,,,False,False,False,False
"Rosenmueller, Thomas",22736,0.0563,0.0451695076874567,0.4672897196261682,0.61295,0.5401198598130841,1.6314544416347174,1.851440901184533,0.4538233326658763,2.20350063123846,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.38705,0.4598801401869159,2.58364552383413,2.174479636353845,0.5327102803738317,0.5327102803738317,1.8771929824561409,0.5445861546659448,1.8362567454793464,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0149405432222736,66.93197061999582,0.0091286049444701,109.545763682738,0.06850173160554,14.5981711200878,0.0453486237392779,22.051385853499816,0.1355746942737041,7.376007781962291,0.0924620959066008,10.815242615851307,0.0448038224528204,22.319524211422493,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.2470851034644639,4.047188543455923,0.1780706969435019,5.615747100250181,0.2467383153487135,4.052876824528476,0.1778207717128929,5.623639973931653,0.1225740438188215,8.15833408807263,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.127,0.093,-0.166,-0.202,-0.149,-0.002,3.212,0.0440902628743814,0.0994256621741558,-0.102554008543446,2.83174783666114,,,,0.5327102803738317,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.15,10.0,,,,False,False,False,False
"Clements, Todd",22608,0.0334,0.0350546650598101,0.5649717514124294,0.60705,0.5860108757062147,1.6473107651758505,1.706452971192519,0.5601748928971431,1.7851567656453602,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.39295,0.4139891242937853,2.544853034737244,2.415522392540812,0.4350282485875706,0.4350282485875706,2.2987012987012987,0.4322623360949705,2.3134099746786503,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0129828992628848,77.02439799858672,0.0102247829647757,97.80158693294426,0.0655802696831179,15.248488681610674,0.0530496586510827,18.85026266761076,0.1272061562177537,7.861254751603234,0.1055127239260226,9.47752993943292,0.08141687921477,12.282465376277738,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.2432378345425044,4.111202526863705,0.2081213062711412,4.804890080293827,0.242606308197903,4.121904361960213,0.2075809541173313,4.817397647352406,0.1814465610745337,5.511264551270416,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.187,-0.191,-0.089,-0.128,-0.221,-0.011,-2.471,-0.025642034893071,-0.0559228282705811,0.0350750498132316,2.81182042773623,,,,0.4350282485875706,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.15,10.0,,,,False,False,False,False
"Bradbury, Dan",29971,0.0286,0.035364562846071,0.6097560975609756,0.6129,0.6113280487804877,1.6315875346712352,1.635782951550902,0.5830532087088606,1.7151093331849512,Make Cut: DG anchor + putting overlay,Tier 2 - candidate,0.3871,0.3886719512195122,2.583311805734952,2.572863817063107,0.3902439024390244,0.3902439024390244,2.5625,0.4296065139742489,2.327711446339804,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.0134281354391821,74.47050296216744,0.012489067719591,80.07002783973556,0.0687225993539434,14.551254018342334,0.0639597093691314,15.634842776234148,0.1290931747289272,7.7463429193667475,0.1226279437858201,8.154748168546176,0.0958844781479785,10.429216691951956,Top 10: DG anchor + putting overlay,Tier 2 - current-price / early value,0.2409511074182608,4.1502195641048685,0.2319341944896464,4.31156777981972,0.2415147684254278,4.140533543847314,0.2324767620796577,4.301505195849862,0.2464728554163804,4.05724191538514,Top 20: DG anchor + OTT overlay,Tier 3 - experimental,0.14,0.062,-0.316,-0.323,-0.436,0.04,-2.027,0.0071087898716572,0.0336712700260266,0.0218506017880201,2.78329335444339,,,,0.3902439024390244,Miss Cut: DataGolf core; ARG weakness tag,Tier 1 - core,0.15,10.0,,,,False,False,False,False
