player_name,dg_id,skill_pred,custom_pred,p_make_cut,p_make_cut_model,p_make_cut_anchored,make_cut_fair_odds_dec_model,make_cut_fair_odds_dec_anchored,p_miss_cut_model,p_miss_cut_anchored,miss_cut_fair_odds_dec_model,miss_cut_fair_odds_dec_anchored,win_prob_model,win_fair_odds_dec,win_prob_anchored,win_fair_odds_dec_anchored,top5_prob_model,top5_fair_odds_dec,top5_prob_anchored,top5_fair_odds_dec_anchored,top10_prob_model,top10_fair_odds_dec,top10_prob_anchored,top10_fair_odds_dec_anchored,top20_prob_model,top20_fair_odds_dec,top20_prob_anchored,top20_fair_odds_dec_anchored,top20_prob_dh,top20_fair_odds_dec_dh,top20_prob_anchored_dh,top20_fair_odds_dec_anchored_dh,sg_app,sg_ott,sg_arg,sg_putt,sg_total,driving_acc,driving_dist,total_fit_adjustment,total_course_history_adjustment,timing_adjustment,std_deviation,market_odds_best_dec,market_book_best,market_prob_best,edge_prob,ev_per_unit,value_flag,bet_flag
"Elvira Mijares, Ignacio",12988,-0.18615,-0.1774382198588123,0.6896551724137931,0.8831,0.7863775862068966,1.1323745895142112,1.271653741841135,0.1169,0.2136224137931034,8.55431993156544,4.681156729969896,0.0086565785990491,115.51908049559404,0.0089616226328578,111.5869347514688,0.0552556353086606,18.09770160842333,0.055665304426817,17.96451147257617,0.1197993217259291,8.34729266904991,0.118122305556234,8.465801571439304,0.2624027842667787,3.8109351727888816,0.2507938809061908,3.987338113620279,0.2631570968355163,3.800011521730079,0.251514822099931,3.975908821797721,-0.198,-0.343,-0.031,0.116,-0.456,0.01,-8.692,-0.0274113217985424,0.116011955136675,0.0282615728210407,2.92060400949703,5.5,bet365,0.18181818181818182,0.06969664028174916,0.38333152154962047,True,True
"Dean, Joe",16497,-0.381,-0.4092591786949496,0.5434782608695652,0.82365,0.6835641304347826,1.21410793419535,1.4629205300224686,0.17635,0.3164358695652174,5.670541536716756,3.160197993274274,0.0060213542772932,166.0755959454223,0.0049606771386466,201.58538281183465,0.0361532189892576,27.66005428996888,0.0310558059232002,32.20009818688843,0.082872554834479,12.066721027212145,0.0700634822956944,14.272770453795331,0.1868920940587994,5.350681124506974,0.1569068270595547,6.373208984848349,0.1871587665046185,5.3430572271661285,0.1571307141509184,6.364128142633756,-0.602,-0.148,-0.048,-0.081,-0.88,-0.024,3.067,-0.0463760563861592,0.0004019417396094,-0.118208350716571,3.09982604660774,7.0,bet365,0.14285714285714285,0.014273571293775544,0.09991499905642875,True,True
"LaCroix, Frederic",23733,0.0350999999999999,0.0518159266987719,0.7194244604316548,0.91775,0.8185872302158274,1.089621356578589,1.2216169066506717,0.08225,0.1814127697841726,12.158054711246194,5.512291120353343,0.022227596971075,44.9891187653487,0.0190887984855375,52.38674402465102,0.1099976248056893,9.091105392198228,0.0943024036726859,10.604183573845038,0.2064372494847096,4.844087016738071,0.1801869056512608,5.5497928464093285,0.3814824084139939,2.621352853877277,0.3359421319944874,2.976703142481721,0.3818581980111797,2.618773160320426,0.33627306090674,2.973773745965735,0.104,0.092,-0.194,-0.257,-0.254,0.013,0.801,0.0429284386617319,0.108993411979926,0.0348670611680121,2.94555559802756,3.2,bet365,0.3125,0.023773060906739973,0.07607379490156796,True,True
"Guerrier, Julien",10201,-0.0182,-0.0424822074545281,0.7092198581560284,0.9034,0.8063099290780142,1.1069293779056897,1.240217891330525,0.0966,0.1936900709219857,10.351966873706004,5.162887262314952,0.0168529931173467,59.33664085880992,0.0150264965586733,66.54911183690348,0.0904009562679521,11.061829888568418,0.0807061064408544,12.390636150101624,0.1784488475525396,5.603846781389699,0.1601797566378527,6.2429861362624,0.3441505021112589,2.905705480205036,0.3086869170285454,3.2395282884876075,0.3435612861207482,2.910688836019025,0.3081584178211961,3.2450841585649424,-0.018,-0.044,-0.007,0.034,-0.036,-0.011,-0.007,-0.0292609572770437,-0.001334207267075,-0.10644700681735,2.95721716437014,3.4,bet365,0.29411764705882354,0.014040770762372534,0.04773862059206657,True,True
"Campillo, Jorge",14016,0.08,0.1091168065042418,0.7692307692307692,0.93415,0.8516903846153846,1.0704918910239254,1.1741355991139792,0.0658499999999999,0.1483096153846154,15.18602885345483,6.742651158569001,0.0261832133135192,38.19240931301847,0.0239249399900929,41.79738801493708,0.125274651564155,7.982460837162137,0.117260024194776,8.528055548913578,0.2301358268999631,4.345259986115443,0.2170051784303716,4.608184962373423,0.4161618431923626,2.402911310486891,0.3881124602311573,2.5765727784271766,0.4156425558956803,2.4059134124153165,0.3876281729915196,2.5797918460944214,0.226,-0.168,0.058,-0.081,0.035,0.002,-3.438,-0.0051839075985445,0.209544609105402,0.0957898340441307,2.88546486295783,2.7,bet365,0.37037037037037035,0.017257802621149232,0.046596067077102954,True,True
"Couvra, Martin",27811,-0.02655,-0.0111901915448416,0.7352941176470588,0.91185,0.8235720588235294,1.0966716016888742,1.2142228348889077,0.0881499999999999,0.1764279411764706,11.344299489506527,5.668036442140182,0.0176750627224375,56.5768855083357,0.0176625313612187,56.61702615264302,0.0944939148717535,10.582692032150357,0.0915742824719518,10.920096483489116,0.1827848409302987,5.470913205440978,0.1769746730505268,5.650526048518234,0.3495358913539334,2.86093652965503,0.3331976735763822,3.00122143491125,0.3488085271985106,2.8669023892036027,0.3325043083156905,3.007479828052535,-0.095,0.122,-0.048,0.0,-0.021,0.028,-2.822,0.0307385689539975,0.0281834892610542,0.0543838854835296,2.94015369730471,3.0,bet365,0.3333333333333333,-0.0008290250176428149,-0.0024870750529285557,False,False
"Ayora, Angel",30445,0.2868,0.2860652565962859,0.8403361344537815,0.9425,0.8914180672268908,1.0610079575596818,1.121808090687343,0.0574999999999999,0.1085819327731092,17.39130434782609,9.2096352907033,0.049753700915973,20.09900734196353,0.0526018504579865,19.010738049960946,0.1947992115663522,5.133491003167543,0.2000378435176636,4.999054091041021,0.323612990453302,3.0901108098264123,0.3273434199223255,3.05489568184168,0.5150773744626609,1.941455885231263,0.511035273839167,1.9568120855679327,0.5127104482017979,1.950418610557376,0.5086869221742563,1.9658457027472769,0.28,0.568,-0.064,-0.028,0.755,-0.005,12.604,0.0317816967735258,-0.0108539370254583,-0.0168510811489685,2.99901238979963,1.73,williamhill,0.5780346820809249,-0.06934775990666864,-0.11997162463853667,False,False
"Manassero, Matteo",11460,-0.1178,-0.1704341474457191,0.5714285714285714,0.8879,0.7296642857142857,1.1262529564140105,1.3704932796883107,0.1120999999999999,0.2703357142857143,8.920606601248886,3.699104288318756,0.0105790250938072,94.52666868002608,0.0070645125469036,141.55258319107944,0.0590473304476839,16.935566644896877,0.0416614562291329,24.00300158736941,0.1249309673712621,8.004420529525408,0.091103881653404,10.97648071466816,0.2718585748760426,3.6783831462956895,0.2028056202949793,4.930829818944401,0.2712373044390184,3.686808501759121,0.202342154552142,4.942123909935474,0.093,-0.739,0.242,-0.084,-0.488,0.0,-15.323,-0.0888072298847757,0.177372837417061,-0.263110331640473,2.94238497054144,3.8,bet365,0.2631578947368421,-0.060815740184700096,-0.23109981270186042,False,False
"Lindell, Oliver",20085,0.2453,0.2437726259480148,0.7936507936507936,0.94555,0.8696003968253968,1.057585532229919,1.1499534770805602,0.05445,0.1303996031746032,18.36547291092746,7.6687349934724445,0.0401300855543321,24.918960081610106,0.035390042777166,28.25653549775329,0.1657870691205332,6.031833515754859,0.1513908992788811,6.6054168695958,0.2901860731639102,3.4460647580256363,0.2672507662596846,3.741804051661019,0.4901611682820919,2.0401452924244943,0.4510689078543695,2.2169561736293657,0.4881594798511439,2.048510868425485,0.4492268618645231,2.226046759201986,0.51,-0.17,0.001,0.072,0.413,0.007,-4.698,-0.0267660390958951,-0.0162169681310982,0.0098003913207963,2.90540885966701,1.29,williamhill,0.7751937984496123,-0.32596693658508924,-0.4204973481947652,False,False
"Frittelli, Dylan",11955,-0.26325,-0.2607065098089975,0.591715976331361,0.86815,0.7299329881656804,1.1518746760352474,1.3699887746038129,0.13185,0.2700670118343196,7.584376185058778,3.7027847022407863,0.0095355090307028,104.87117119601616,0.0075927545153514,131.70450828854615,0.05237206861756,19.094147441499125,0.0422063226084433,23.693132644537755,0.111448028192962,8.97279221727092,0.0918405253398672,10.888439458500216,0.2355298621490886,4.24574612694762,0.1974779341247348,5.063856903467304,0.2352835647970753,4.250190619402033,0.1972714282837676,5.069157803032362,-0.318,-0.309,0.073,-0.184,-0.739,-0.078,4.595,-0.1576286893885267,0.0229702831235974,0.0857892248683764,3.03094888816269,2.8,bet365,0.35714285714285715,-0.15987142885908956,-0.44764000080545086,False,False
"Van Driel, Darius",13374,-0.2087,-0.1907064927051457,0.6172839506172839,0.88285,0.750066975308642,1.1326952483434332,1.3332142767497717,0.1171499999999999,0.249933024691358,8.536064874093045,4.001071892099488,0.0088626859433095,112.83261151264146,0.0069480096383214,143.92611007396178,0.0545730360552556,18.32406756676489,0.0436705337803935,22.89873545005678,0.1183353969833601,8.45055685358977,0.0964475470690286,10.368330044560782,0.2560873028088234,3.9049183189942407,0.2115106191126292,4.727895006857792,0.2567299231338704,3.895143923205848,0.2120413796045171,4.716060619229705,-0.264,-0.156,-0.07,-0.175,-0.665,0.053,-11.053,0.0578076772466165,0.0259865784142871,0.0545670532473914,2.95021079192211,2.5,bet365,0.4,-0.18795862039548292,-0.46989655098870725,False,False
"Molinari, Francesco",7655,0.1362,0.1704217878629558,0.7042253521126761,0.9374,0.8208126760563381,1.0667804565820354,1.2183047718080842,0.0625999999999999,0.1791873239436618,15.974440894568692,5.58075190806694,0.032218306346146,31.038254750458663,0.021684153173073,46.11662682966939,0.1404660758395997,7.119156664858458,0.102819424103061,9.725788767282436,0.2550651848052068,3.920566426043992,0.1940882868470479,5.152294433862741,0.4446654292284291,2.248881820507548,0.3539130868345865,2.825552479406856,0.444360062462952,2.250427264901588,0.3536700427671082,2.827494215161729,0.248,0.162,-0.077,-0.33,0.003,0.065,-6.25,0.108114114530426,-0.06,0.132051882049566,2.88484980007968,1.36,williamhill,0.7352941176470588,-0.3816240748799506,-0.5190087418367328,False,False
"Aphibarnrat, Kiradech",12321,-0.3733000000000001,-0.3680572425838078,0.5617977528089888,0.83955,0.7006738764044944,1.1911142874158775,1.4271974932639084,0.1604499999999999,0.2993261235955056,6.232471174820817,3.340837705670322,0.0067221228264179,148.76253020400048,0.0052693947465422,189.7751161376154,0.0395755822827432,25.268105794517776,0.0335047425001979,29.84652098114442,0.087746549036258,11.396459587109083,0.0744052504126049,13.439911759649036,0.1991604291802898,5.021077751819619,0.1695038744372424,5.899570162157224,0.1997731023405841,5.005678884112962,0.1700253157439369,5.881477094305352,-0.535,-0.227,-0.096,-0.127,-0.986,0.002,-4.442,-0.0329303977777252,0.181866421566911,-0.0027876194219038,3.06367050367815,2.75,williamhill,0.36363636363636365,-0.19361104789242675,-0.5324303817041736,False,False
